"Group","Indicator","Units","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Hawaii ISL visitors","Accom: Condo (%)","percent","20.1","16.2","15.0","15.6","16.9","16.7","15.7","15.9","15.9","18.3","18.1","18.2","18.8","18.6","19.3","18.5","18.2","17.8","17.4","17.7","16.6","17.4","18.8"
"Visitor from US","Purpose: Honeymoon/Get married (%)","percent","","","","","","","","","","","","","","","","","","","","3.8","3.6","2.8","4.0"
"Hawaii ISL visitors","Purpose: Honeymoon/Get married (%)","percent","","","6.3","8.1","8.2","8.1","","","","","","","","","","","5.6","5.5","5.4","4.7","4.3","3.0","3.7"
"Visitor from US","Accom: Condo only (%)","percent","","","","","","","","","","","","","","","","","","","","14.1","13.9","14.6","16.0"
"Hawaii ISL visitors","Accom: Condo only (%)","percent","14.6","11.5","10.6","10.1","10.1","10.0","9.6","9.9","9.8","11.7","11.7","11.8","12.1","12.0","12.2","11.5","11.7","11.1","10.5","10.9","10.6","11.8","13.4"
"Visitor from US","Purpose: Honeymoon (%)","percent","","","","","","","","","","","","","","","","","","","","3.2","3.0","2.3","3.5"
"Hawaii ISL visitors","Purpose: Honeymoon (%)","percent","7.4","7.2","","","","6.5","6.7","5.7","5.8","5.8","6.5","6.3","5.9","6.0","5.7","6.1","5.1","5.1","4.8","4.2","3.8","2.6","3.3"
"Visitor from US","Accom: Timeshare (%)","percent","","","","","","","","","","","","","","","","","","","","10.5","9.8","9.2","10.2"
"Hawaii ISL visitors","Accom: Timeshare (%)","percent","","6.3","7.7","8.3","8.6","9.2","8.9","9.6","9.3","10.8","11.4","11.0","11.3","10.5","10.7","10.4","10.4","10.3","9.8","9.9","9.8","8.8","11.6"
"Visitor from US","Purpose: Get married (%)","percent","","","","","","","","","","","","","","","","","","","","0.9","0.8","0.7","0.7"
"Hawaii ISL visitors","Purpose: Get married (%)","percent","","","","","","","1.6","1.4","1.3","1.4","1.5","1.4","1.4","1.3","1.3","1.2","1.0","0.9","0.9","0.9","0.8","0.6","0.6"
"Visitor from US","Accom: Timeshare only (%)","percent","","","","","","","","","","","","","","","","","","","","8.2","7.8","7.3","8.4"
