"Indicator","Market","Destination","Units","2019"
"Visitor arrivals","Utah","Kauai","persons","38,723"
"Visitor arrivals","Utah","Maui Island","persons","53,006"
"Visitor arrivals","Utah","Molokai","persons","798"
"Visitor arrivals","Utah","Lanai","persons","1,187"
"Visitor arrivals","Utah","Hilo","persons","7,425"
"Visitor arrivals","Utah","Kona","persons","22,030"
"Visitor arrivals","Vermont","Oahu","persons","2,691"
"Visitor arrivals","Vermont","Kauai","persons","1,213"
"Visitor arrivals","Vermont","Maui Island","persons","2,045"
"Visitor arrivals","Vermont","Molokai","persons","80"
"Visitor arrivals","Vermont","Lanai","persons","72"
"Visitor arrivals","Vermont","Hilo","persons","486"
"Visitor arrivals","Vermont","Kona","persons","1,052"
"Visitor arrivals","Virginia","Oahu","persons","68,481"
"Visitor arrivals","Virginia","Kauai","persons","15,041"
"Visitor arrivals","Virginia","Maui Island","persons","28,243"
"Visitor arrivals","Virginia","Molokai","persons","645"
"Visitor arrivals","Virginia","Lanai","persons","868"
"Visitor arrivals","Virginia","Hilo","persons","7,292"
"Visitor arrivals","Virginia","Kona","persons","16,271"
"Visitor arrivals","Washington","Oahu","persons","241,910"
"Visitor arrivals","Washington","Kauai","persons","98,042"
"Visitor arrivals","Washington","Maui Island","persons","227,780"
"Visitor arrivals","Washington","Molokai","persons","3,945"
"Visitor arrivals","Washington","Lanai","persons","3,688"
"Visitor arrivals","Washington","Hilo","persons","29,152"
"Visitor arrivals","Washington","Kona","persons","108,255"
"Visitor arrivals","Washington, D.C.","Oahu","persons","7,820"
"Visitor arrivals","Washington, D.C.","Kauai","persons","2,365"
"Visitor arrivals","Washington, D.C.","Maui Island","persons","4,298"
"Visitor arrivals","Washington, D.C.","Molokai","persons","72"
"Visitor arrivals","Washington, D.C.","Lanai","persons","136"
"Visitor arrivals","Washington, D.C.","Hilo","persons","1,007"
"Visitor arrivals","Washington, D.C.","Kona","persons","2,266"
"Visitor arrivals","W. Virginia","Oahu","persons","4,158"
"Visitor arrivals","W. Virginia","Kauai","persons","1,046"
"Visitor arrivals","W. Virginia","Maui Island","persons","2,214"
"Visitor arrivals","W. Virginia","Molokai","persons","50"
"Visitor arrivals","W. Virginia","Lanai","persons","42"
"Visitor arrivals","W. Virginia","Hilo","persons","672"
"Visitor arrivals","W. Virginia","Kona","persons","1,281"
"Visitor arrivals","Wisconsin","Oahu","persons","29,066"
"Visitor arrivals","Wisconsin","Kauai","persons","12,580"
"Visitor arrivals","Wisconsin","Maui Island","persons","24,134"
"Visitor arrivals","Wisconsin","Molokai","persons","440"
"Visitor arrivals","Wisconsin","Lanai","persons","578"
"Visitor arrivals","Wisconsin","Hilo","persons","4,907"
"Visitor arrivals","Wisconsin","Kona","persons","11,597"
"Visitor arrivals","Wyoming","Oahu","persons","4,620"
"Visitor arrivals","Wyoming","Kauai","persons","2,436"
"Visitor arrivals","Wyoming","Maui Island","persons","3,917"
"Visitor arrivals","Wyoming","Molokai","persons","79"
"Visitor arrivals","Wyoming","Lanai","persons","105"
"Visitor arrivals","Wyoming","Hilo","persons","793"
"Visitor arrivals","Wyoming","Kona","persons","2,471"
"Visitor days","Alabama","Oahu","days","117,954"
"Visitor days","Alabama","Kauai","days","24,094"
"Visitor days","Alabama","Maui Island","days","51,391"
"Visitor days","Alabama","Molokai","days","737"
"Visitor days","Alabama","Lanai","days","842"
"Visitor days","Alabama","Hilo","days","8,890"
"Visitor days","Alabama","Kona","days","26,163"
"Visitor days","Alaska","Oahu","days","368,367"
"Visitor days","Alaska","Kauai","days","101,923"
"Visitor days","Alaska","Maui Island","days","251,443"
"Visitor days","Alaska","Molokai","days","15,142"
"Visitor days","Alaska","Lanai","days","1,942"
"Visitor days","Alaska","Hilo","days","41,970"
"Visitor days","Alaska","Kona","days","234,965"
"Visitor days","Arizona","Oahu","days","686,305"
"Visitor days","Arizona","Kauai","days","302,061"
"Visitor days","Arizona","Maui Island","days","670,003"
"Visitor days","Arizona","Molokai","days","6,450"
"Visitor days","Arizona","Lanai","days","7,264"
"Visitor days","Arizona","Hilo","days","58,962"
"Visitor days","Arizona","Kona","days","248,980"
"Visitor days","Arkansas","Oahu","days","69,315"
"Visitor days","Arkansas","Kauai","days","19,982"
"Visitor days","Arkansas","Maui Island","days","44,948"
"Visitor days","Arkansas","Molokai","days","580"
"Visitor days","Arkansas","Lanai","days","521"
"Visitor days","Arkansas","Hilo","days","6,201"
"Visitor days","Arkansas","Kona","days","20,168"
"Visitor days","California","Oahu","days","7,881,640"
"Visitor days","California","Kauai","days","3,098,755"
"Visitor days","California","Maui Island","days","7,183,808"
"Visitor days","California","Molokai","days","57,553"
"Visitor days","California","Lanai","days","72,952"
"Visitor days","California","Hilo","days","547,904"
"Visitor days","California","Kona","days","2,745,126"
"Visitor days","Colorado","Oahu","days","552,371"
"Visitor days","Colorado","Kauai","days","366,939"
"Visitor days","Colorado","Maui Island","days","652,442"
"Visitor days","Colorado","Molokai","days","7,946"
"Visitor days","Colorado","Lanai","days","6,387"
"Visitor days","Colorado","Hilo","days","61,097"
"Visitor days","Colorado","Kona","days","306,077"
"Visitor days","Connecticut","Oahu","days","113,183"
"Visitor days","Connecticut","Kauai","days","41,245"
"Visitor days","Connecticut","Maui Island","days","86,140"
"Visitor days","Connecticut","Molokai","days","1,203"
"Visitor days","Connecticut","Lanai","days","1,194"
"Visitor days","Connecticut","Hilo","days","11,088"
"Visitor days","Connecticut","Kona","days","39,292"
"Visitor days","Delaware","Oahu","days","28,802"
"Visitor days","Delaware","Kauai","days","8,528"
"Visitor days","Delaware","Maui Island","days","20,731"
"Visitor days","Delaware","Molokai","days","186"
"Visitor days","Delaware","Lanai","days","119"
"Visitor days","Delaware","Hilo","days","2,711"
"Visitor days","Delaware","Kona","days","9,928"
"Visitor days","Florida","Oahu","days","627,051"
"Visitor days","Florida","Kauai","days","155,792"
"Visitor days","Florida","Maui Island","days","358,106"
"Visitor days","Florida","Molokai","days","3,998"
"Visitor days","Florida","Lanai","days","6,652"
"Visitor days","Florida","Hilo","days","50,479"
"Visitor days","Florida","Kona","days","171,855"
"Visitor days","Georgia","Oahu","days","346,103"
"Visitor days","Georgia","Kauai","days","78,813"
"Visitor days","Georgia","Maui Island","days","187,482"
"Visitor days","Georgia","Molokai","days","2,787"
"Visitor days","Georgia","Lanai","days","3,331"
"Visitor days","Georgia","Hilo","days","22,607"
"Visitor days","Georgia","Kona","days","88,340"
"Visitor days","Idaho","Oahu","days","202,663"
"Visitor days","Idaho","Kauai","days","126,690"
"Visitor days","Idaho","Maui Island","days","218,457"
"Visitor days","Idaho","Molokai","days","3,869"
"Visitor days","Idaho","Lanai","days","2,588"
"Visitor days","Idaho","Hilo","days","19,545"
"Visitor days","Idaho","Kona","days","105,857"
